struct_name,address,field_name,type,size,comment,dependency,Status
eeprom_param_t,,pteshilm,word,2,PTO setpoint high limit (3000.0 RPM),,guess
eeprom_param_t,,pteslolm,word,2,PTO setpoint low limit (700.0 RPM),,guess
eeprom_param_t,,ptmnrfes,word,2,PTO minimum RPM for engagement (700.0 RPM),,guess
eeprom_param_t,,pttlslmx,word,2,PTO throttle limit maximum (0.101),,guess
j1939_header_t,,id,uint32_t,4,CAN identifier containing PGN and addressing info,,guess
j1939_header_t,,length,uint16_t,2,Message data length for single/multi-frame decision,,guess
diagnostic_state_buffer_t,0x809654,diagnostic_mode,word,2,Parameter system operation mode (state machine 1-12),,in_qa
diagnostic_state_buffer_t,0x809654,reserved,word,2,Padding/reserved space,,in_qa
diagnostic_state_buffer_t,0x809654,computed_value,word,2,Calculated parameter value from table lookups,,in_qa
# CalTerm EPFLTB - Max fueling derate as function of RPM
derate_table_EPFLTB,0x8071A8,derate_values,word,34,Max fueling derate lookup table - RPM vs %FU (17 entries),,Verified
# CalTerm DCMNESTB - Duty cycle monitor x-axis rpm values for mapping
duty_cycle_monitor_DCMNESTB,0x807d1e,rpm_thresholds,word,18,Duty cycle monitor RPM threshold points (9 entries),,guess
# CalTerm CPDSZA - Data axis for desired cylinder pressure table (PSIA vs RPM)
desired_cylinder_pressure_CPDSZA,0x606a4,pressure_table,word,182,Desired cylinder pressure lookup table - PSIA vs RPM (7x13 entries),,Verified
parameter_response_t,,error_code,byte,1,Error code (0=success non-zero=error),,guess
parameter_response_t,,param_value,word,2,Retrieved parameter value,,guess
parameter_response_t,,scaling_applied,byte,1,Flag indicating if scaling was applied,,guess
parameter_response_t,,timestamp,dword,4,Response generation timestamp,,guess
# J1939/VP44 Dual Protocol Message Structure @ 0x803036-0x803046
j1939_vp44_msg_t,0x803036,j1939_status_byte,byte,1,J1939 transmission message status/header byte,,verified
j1939_vp44_msg_t,0x803037,fuel_amount_high,byte,1,Fuel amount high byte (param_table_aux>>8 + 125),,verified
j1939_vp44_msg_t,0x803038,fuel_amount_low,byte,1,Fuel amount low byte (param_table_main>>8 + 125),,verified
j1939_vp44_msg_t,0x803039,rpm_low,byte,1,Engine RPM low byte (current_engine_rpm & 0xFF),,verified
j1939_vp44_msg_t,0x80303A,rpm_high,byte,1,Engine RPM high byte (current_engine_rpm >> 8),,verified
j1939_vp44_msg_t,0x80303E,vp44_header,dword,4,VP44 0x100 command message header (0xF00400 base),,verified
j1939_vp44_msg_t,0x80303F,vp44_fuel_high,byte,1,VP44 fuel amount high byte (same as fuel_amount_high),,verified
j1939_vp44_msg_t,0x803040,vp44_fuel_low,byte,1,VP44 fuel amount low byte (same as fuel_amount_low),,verified
j1939_vp44_msg_t,0x803041,timing_byte3,byte,1,VP44 timing advance data byte 3,,verified
j1939_vp44_msg_t,0x803042,timing_byte4,byte,1,VP44 timing advance data byte 4,,verified
j1939_vp44_msg_t,0x803043,timing_byte5,byte,1,VP44 timing advance data byte 5,,verified
j1939_vp44_msg_t,0x803044,timing_byte6,byte,1,VP44 timing advance data byte 6,,verified
j1939_vp44_msg_t,0x803045,vp44_rpm_low,byte,1,VP44 RPM×4 low byte (current_engine_rpm & 0xFF),,verified
j1939_vp44_msg_t,0x803046,vp44_rpm_high,byte,1,VP44 RPM×4 high byte (current_engine_rpm >> 8),,verified
calterm_protocol_t,,checksum,byte,1,Message integrity checksum,,guess
calterm_protocol_t,,command_id,byte,1,CalTerm command identifier,,guess
calterm_protocol_t,,data_payload,byte,8,Parameter data payload (up to 8 bytes),,guess
calterm_protocol_t,,parameter_count,byte,1,Number of parameters in request/response,,guess
j1939_source_addresses_t,,jcsa1_source_addr_1,word,2,J1939 source address 1 (JCSA1),,guess
j1939_source_addresses_t,,jcsa2_source_addr_2,word,2,J1939 source address 2 (JCSA2),,guess
j1939_source_addresses_t,,jcsa3_source_addr_3,word,2,J1939 source address 3 (JCSA3),,guess
j1939_source_addresses_t,,jcsa4_source_addr_4,word,2,J1939 source address 4 (JCSA4),,guess
j1939_source_addresses_t,,jcsa5_source_addr_5,word,2,J1939 source address 5 (JCSA5),,guess
param_lookup_args_t,,calculated_block,dword,4,Block × 256 × 4 calculation result,,guess
param_lookup_args_t,,offset,word,2,Parameter offset within block,,guess
param_lookup_args_t,,result_value,word,2,Retrieved parameter value (capped at 32000),,guess
can_param_msg_t,,checksum,byte,1,Message checksum,,guess
can_param_msg_t,,msg_id,byte,1,Message identifier,,guess
can_param_msg_t,,param_1,byte,1,First parameter byte,,guess
can_param_msg_t,,param_2,byte,1,Second parameter byte,,guess
can_param_msg_t,,param_3,byte,1,Third parameter byte,,guess
can_param_msg_t,,param_4,byte,1,Fourth parameter byte,,guess
can_param_msg_t,,timestamp,word,2,Message timestamp,,guess
insite_protocol_t,,function_code,byte,1,Insite function code,,guess
insite_protocol_t,,live_data_request,byte,1,Live data monitoring request flag,,guess
insite_protocol_t,,response_data,byte,6,Live parameter response data,,guess
insite_protocol_t,,status_flags,byte,1,Monitoring status flags,,guess
reference_table_t,0x8086F6,base_reference,word,2,Base reference value,,needs_review
reference_table_t,0x8086F6,config_byte,byte,1,Configuration flags,,needs_review
reference_table_t,0x8086F6,limit_value,word,2,Parameter limits,,needs_review
reference_table_t,0x8086F6,scale_factor,word,2,Scaling factor,,needs_review
mc68336_dual_can_t,,ssc1ltob_controller_1,word,2,CAN controller 1 last message object (SSC1LTOB),,guess
mc68336_dual_can_t,,sscnltob_main_controller,word,2,Main CAN controller last message object (SSCNLTOB),,guess
j1939_tx_msg_buffer_t,0x803036,data,uint8_t,8,J1939 message payload data array,,needs_review
j1939_tx_msg_buffer_t,0x803036,header,j1939_header_t,6,CAN message header (ID + length),j1939_header_t,needs_review
network_type_switches_t,,jcnes1sw_type_1,byte,1,Network type switch 1 (0=J1922 1=J1939),,guess
network_type_switches_t,,jcnes2sw_type_2,byte,1,Network type switch 2 (0=J1922 1=J1939),,guess
